artifactNumber	ObjectName	BeginDate	group1	category1	material	Length	Width	Height	image
1966.0203.001	Airplane model	1953	Transport	Models	metal->aluminum	19.3 cm	12.3 cm	4.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0203.001.aa.cs.png
1966.0204.001	Airplane model	1953	Transport	Models	wood->pine;metal->aluminum	55.3 cm	48.5 cm	4.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0204.001.aa.cs.png
1966.0205.001	Wing model	1953	Transport	Models	wood->pine;metal->aluminum	27.7 cm	21.5 cm	1.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0205.001.aa.cs.png
1966.0206.001	Airplane model	1950	Transport	Models	metal->silver;stone->marble;fibre->felt	29.4 cm	19.4 cm	22.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0206.001.aa.cs.png
1966.0207.001	Camera	Unknown	Craft	Still cameras	wood;fibre;metal	235.0 cm	215.0 cm	260.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0207.001.aa.cs.png
1966.0208.001	Auger	Unknown	Technology	Tools-Hand	metal->iron - possible;wood	53.5 cm	31.3 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0208.001.aa.cs.png
1966.0209.001	Drawknife	Unknown	Technology	Tools-Hand	metal->steel;wood	49.0 cm	9.5 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0209.001.aa.cs.png
1966.0210.001	"""Wedge, saw"""	Unknown	Nature	Harvesting	metal->steel	23.6 cm	5.0 cm	4.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0210.001.aa.cs.png
1966.0212.001	Glider model	Unknown	Transport	Models	synthetic->plastic;fibre	44.0 cm	28.0 cm	27.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0212.001.aa.cs.png
1966.0213.001	Glider model	Unknown	Transport	Models	synthetic->plastic;fibre	22.0 cm	31.5 cm	14.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0213.001.aa.cs.png
1966.0215.001	Lantern	Unknown	Transport	Technology	metal->iron;metal->copper;glass;fibre	62.0 cm	40.0 cm	105.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0215.001.aa.cs.png
1966.0215.002	Lamp assembly	Unknown	Transport	Technology	metal->iron;metal->copper;glass;fibre	62.0 cm	40.0 cm	105.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0215.002.aa.cs.png
1966.0216.001	"""Tube, vacuum discharge"""	1972	Science	Demonstration & teaching equipment	glass;metal;wood	34.0 cm	10.0 cm	20.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0216.001.aa.cs.png
1966.0218.001	Camera	1931	Craft	Still cameras	metal->steel;metal->aluminum;glass	44.0 cm	34.5 cm	29.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0218.001.aa.cs.png
1966.0218.002	"""Mount, camera"""	Unknown	Craft	Still cameras	metal->steel;metal->brass	32.0 cm	22.0 cm	9.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0218.002.aa.cs.png
1966.0219.001	"""Cap, military wedge"""	1918	Transport	Clothing	fibre->;metal->steel	30.5 cm	2.0 cm	12.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0219.001.aa.cs.png
1966.0220.001	"""Cap, military wedge"""	1952	Transport	Clothing	fibre->;metal->steel	30.0 cm	2.5 cm	11.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0220.001.aa.cs.png
1966.0223.001	"""Watch, pocket"""	Unknown	Numbers	Watches	metal->gold;metal->steel;glass	5.8 cm	4.6 cm	1.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0223.001.aa.cs.png
1966.0224.001	"""Watch, pocket"""	Unknown	Numbers	Watches	metal->gold;metal->steel;glass	5.8 cm	4.6 cm	1.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0224.001.aa.cs.png
